dataset,workload,table,load_factor,insert_ns_per_op,find_ns_per_op,insert_count,find_count
uniform,bulk,linear,97.65625,78.92083,14.70161,100000,100000
uniform,bulk,linear,97.65625,84.81669,15.32521,100000,100000
uniform,bulk,quadratic,97.65625,83.75323,15.431,100000,100000
uniform,bulk,cuckoo,97.65625,99.05552,2.50095,100000,100000
uniform,bulk,slick,97.65625,79.1213,18.00732,100000,100000
uniform,bulk,std_set,97.65625,15.03517,4.18351,100000,100000
sequential,bulk,linear,97.65625,70.99179,14.27804,100000,100000
sequential,bulk,quadratic,97.65625,80.13141,15.57449,100000,100000
sequential,bulk,cuckoo,97.65625,86.97076,2.50129,100000,100000
sequential,bulk,slick,97.65625,79.69758,17.99826,100000,100000
sequential,bulk,std_set,97.65625,15.08387,4.39897,100000,100000
zipf,bulk,linear,195.3125,16.80597,5.532495,200000,200000
zipf,bulk,quadratic,195.3125,16.64797,5.402775,200000,200000
zipf,bulk,cuckoo,195.3125,22.973455,2.62606,200000,200000
zipf,bulk,slick,195.3125,28.34458,11.834435,200000,200000
zipf,bulk,std_set,195.3125,7.7273,3.49613,200000,200000
norvig,bulk,linear,48.828125,128.85352,27.83978,50000,50000
norvig,bulk,quadratic,48.828125,133.54244,30.01204,50000,50000
norvig,bulk,cuckoo,48.828125,199.096,28.83552,50000,50000
norvig,bulk,slick,48.828125,150.22398,47.5936,50000,50000
norvig,bulk,std_set,48.828125,54.1506,16.19542,50000,50000
